Wall time,Step,Value
1679989446.262148,0,38.29999923706055
1679991806.797616,50,15.699999809265137
1679994186.467147,100,3.9000000953674316
1679996555.984009,150,4.300000190734863
1679998994.501291,200,14.199999809265137
1680001460.355825,250,4.5
1680004006.487383,300,2.799999952316284
1680006666.249128,350,1.0
1680009301.614076,400,0.6000000238418579
1680011809.254763,450,0.8999999761581421
1680014373.056923,500,1.399999976158142
1680016958.134208,550,0.699999988079071
1680019602.197058,600,3.0
1680022279.983171,650,2.5
1680024972.441828,700,1.0
1680027651.825152,750,3.5
1680030338.79519,800,2.0
1680033036.239599,850,1.2000000476837158
1680035712.253082,900,1.2000000476837158
